Project,Observation Year,Observation Month/Day,Location,Species,Daily Count,Cumulative Count,Cumulative
Bonanza River Escapement,2018,07/08,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/09,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/10,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/11,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/12,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/13,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/14,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/15,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/16,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/17,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/18,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/19,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/20,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2018,07/21,Bonanza River,Chinook,2,2,2
Bonanza River Escapement,2018,07/22,Bonanza River,Chinook,0,0,2
Bonanza River Escapement,2018,07/23,Bonanza River,Chinook,0,0,2
Bonanza River Escapement,2018,07/24,Bonanza River,Chinook,0,0,2
Bonanza River Escapement,2018,07/25,Bonanza River,Chinook,0,0,2
Bonanza River Escapement,2018,07/26,Bonanza River,Chinook,0,0,2
Bonanza River Escapement,2018,07/27,Bonanza River,Chinook,1,1,3
Bonanza River Escapement,2018,07/28,Bonanza River,Chinook,0,0,3
Bonanza River Escapement,2018,07/29,Bonanza River,Chinook,0,0,3
Bonanza River Escapement,2018,07/30,Bonanza River,Chinook,0,0,3
Bonanza River Escapement,2018,07/31,Bonanza River,Chinook,1,1,4
Bonanza River Escapement,2018,08/01,Bonanza River,Chinook,0,0,4
Bonanza River Escapement,2018,08/02,Bonanza River,Chinook,1,1,5
Bonanza River Escapement,2018,08/03,Bonanza River,Chinook,0,0,5
Bonanza River Escapement,2018,08/04,Bonanza River,Chinook,0,0,5
Bonanza River Escapement,2018,08/05,Bonanza River,Chinook,2,2,7
Bonanza River Escapement,2018,08/06,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2018,08/07,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2018,08/08,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2018,08/09,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2018,08/10,Bonanza River,Chinook,2,2,9
Bonanza River Escapement,2018,08/11,Bonanza River,Chinook,0,0,9
