Project,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count.1, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
George River Escapement,1996,06/15,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,06/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,06/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,06/18,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,06/19,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,06/20,George River,Chinook,2.0,2.0,Estimated,Weir
George River Escapement,1996,06/21,George River,Chinook,27.0,27.0,Counted,Weir
George River Escapement,1996,06/22,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,1996,06/23,George River,Chinook,269.0,269.0,Counted,Weir
George River Escapement,1996,06/24,George River,Chinook,762.0,762.0,Counted,Weir
George River Escapement,1996,06/25,George River,Chinook,214.0,214.0,Counted,Weir
George River Escapement,1996,06/26,George River,Chinook,41.0,41.0,Counted,Weir
George River Escapement,1996,06/27,George River,Chinook,183.0,183.0,Counted,Weir
George River Escapement,1996,06/28,George River,Chinook,98.0,98.0,Counted,Weir
George River Escapement,1996,06/29,George River,Chinook,300.0,300.0,Estimated,Weir
George River Escapement,1996,06/30,George River,Chinook,84.0,84.0,Counted,Weir
George River Escapement,1996,07/01,George River,Chinook,1034.0,1034.0,Counted,Weir
George River Escapement,1996,07/02,George River,Chinook,361.0,361.0,Estimated,Weir
George River Escapement,1996,07/03,George River,Chinook,389.0,389.0,Counted,Weir
George River Escapement,1996,07/04,George River,Chinook,320.0,320.0,Counted,Weir
George River Escapement,1996,07/05,George River,Chinook,280.0,280.0,Counted,Weir
George River Escapement,1996,07/06,George River,Chinook,579.0,579.0,Counted,Weir
George River Escapement,1996,07/07,George River,Chinook,180.0,180.0,Counted,Weir
George River Escapement,1996,07/08,George River,Chinook,122.0,122.0,Counted,Weir
George River Escapement,1996,07/09,George River,Chinook,436.0,436.0,Counted,Weir
George River Escapement,1996,07/10,George River,Chinook,127.0,127.0,Counted,Weir
George River Escapement,1996,07/11,George River,Chinook,376.0,376.0,Counted,Weir
George River Escapement,1996,07/12,George River,Chinook,53.0,53.0,Counted,Weir
George River Escapement,1996,07/13,George River,Chinook,60.0,60.0,Counted,Weir
George River Escapement,1996,07/14,George River,Chinook,127.0,127.0,Counted,Weir
George River Escapement,1996,07/15,George River,Chinook,324.0,324.0,Counted,Weir
George River Escapement,1996,07/16,George River,Chinook,78.0,78.0,Counted,Weir
George River Escapement,1996,07/17,George River,Chinook,67.0,67.0,Counted,Weir
George River Escapement,1996,07/18,George River,Chinook,107.0,107.0,Counted,Weir
George River Escapement,1996,07/19,George River,Chinook,63.0,63.0,Counted,Weir
George River Escapement,1996,07/20,George River,Chinook,49.0,49.0,Counted,Weir
George River Escapement,1996,07/21,George River,Chinook,58.0,58.0,Counted,Weir
George River Escapement,1996,07/22,George River,Chinook,26.0,26.0,Counted,Weir
George River Escapement,1996,07/23,George River,Chinook,29.0,29.0,Counted,Weir
George River Escapement,1996,07/24,George River,Chinook,54.0,54.0,Counted,Weir
George River Escapement,1996,07/25,George River,Chinook,34.0,34.0,Counted,Weir
George River Escapement,1996,07/26,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,1996,07/27,George River,Chinook,23.0,23.0,Estimated,Weir
George River Escapement,1996,07/28,George River,Chinook,19.0,19.0,Estimated,Weir
George River Escapement,1996,07/29,George River,Chinook,17.0,17.0,Estimated,Weir
George River Escapement,1996,07/30,George River,Chinook,14.0,14.0,Estimated,Weir
George River Escapement,1996,07/31,George River,Chinook,12.0,12.0,Estimated,Weir
George River Escapement,1996,08/01,George River,Chinook,10.0,10.0,Estimated,Weir
George River Escapement,1996,08/02,George River,Chinook,9.0,9.0,Estimated,Weir
George River Escapement,1996,08/03,George River,Chinook,7.0,7.0,Estimated,Weir
George River Escapement,1996,08/04,George River,Chinook,6.0,6.0,Estimated,Weir
George River Escapement,1996,08/05,George River,Chinook,6.0,6.0,Estimated,Weir
George River Escapement,1996,08/06,George River,Chinook,5.0,5.0,Estimated,Weir
George River Escapement,1996,08/07,George River,Chinook,4.0,4.0,Estimated,Weir
George River Escapement,1996,08/08,George River,Chinook,3.0,3.0,Estimated,Weir
George River Escapement,1996,08/09,George River,Chinook,3.0,3.0,Estimated,Weir
George River Escapement,1996,08/10,George River,Chinook,3.0,3.0,Estimated,Weir
George River Escapement,1996,08/11,George River,Chinook,2.0,2.0,Estimated,Weir
George River Escapement,1996,08/12,George River,Chinook,2.0,2.0,Estimated,Weir
George River Escapement,1996,08/13,George River,Chinook,2.0,2.0,Estimated,Weir
George River Escapement,1996,08/14,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/15,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/16,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/17,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/18,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/19,George River,Chinook,1.0,1.0,Estimated,Weir
George River Escapement,1996,08/20,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/21,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/22,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/23,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/24,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/25,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/26,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/27,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/28,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/29,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/30,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,08/31,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/01,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/02,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/03,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/04,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/05,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/06,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/07,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/08,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/09,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/10,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/11,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/12,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/13,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/14,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/15,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/18,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/19,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1996,09/20,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,06/09,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,1997,06/10,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,06/11,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,1997,06/12,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,1997,06/13,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,06/14,George River,Chinook,6.0,6.0,Counted,Weir
George River Escapement,1997,06/15,George River,Chinook,26.0,26.0,Counted,Weir
George River Escapement,1997,06/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,06/17,George River,Chinook,11.0,11.0,Counted,Weir
George River Escapement,1997,06/18,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,1997,06/19,George River,Chinook,42.0,42.0,Counted,Weir
George River Escapement,1997,06/20,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,06/21,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,1997,06/22,George River,Chinook,18.0,18.0,Counted,Weir
George River Escapement,1997,06/23,George River,Chinook,362.0,362.0,Counted,Weir
George River Escapement,1997,06/24,George River,Chinook,488.0,488.0,Counted,Weir
George River Escapement,1997,06/25,George River,Chinook,907.0,907.0,Counted,Weir
George River Escapement,1997,06/26,George River,Chinook,288.0,288.0,Counted,Weir
George River Escapement,1997,06/27,George River,Chinook,514.0,514.0,Counted,Weir
George River Escapement,1997,06/28,George River,Chinook,397.0,397.0,Counted,Weir
George River Escapement,1997,06/29,George River,Chinook,566.0,566.0,Counted,Weir
George River Escapement,1997,06/30,George River,Chinook,767.0,767.0,Counted,Weir
George River Escapement,1997,07/01,George River,Chinook,456.0,456.0,Counted,Weir
George River Escapement,1997,07/02,George River,Chinook,277.0,277.0,Counted,Weir
George River Escapement,1997,07/03,George River,Chinook,584.0,584.0,Counted,Weir
George River Escapement,1997,07/04,George River,Chinook,347.0,347.0,Counted,Weir
George River Escapement,1997,07/05,George River,Chinook,221.0,221.0,Counted,Weir
George River Escapement,1997,07/06,George River,Chinook,294.0,294.0,Counted,Weir
George River Escapement,1997,07/07,George River,Chinook,93.0,93.0,Counted,Weir
George River Escapement,1997,07/08,George River,Chinook,34.0,34.0,Counted,Weir
George River Escapement,1997,07/09,George River,Chinook,37.0,37.0,Counted,Weir
George River Escapement,1997,07/10,George River,Chinook,29.0,29.0,Counted,Weir
George River Escapement,1997,07/11,George River,Chinook,33.0,33.0,Counted,Weir
George River Escapement,1997,07/12,George River,Chinook,245.0,245.0,Counted,Weir
George River Escapement,1997,07/13,George River,Chinook,31.0,31.0,Counted,Weir
George River Escapement,1997,07/14,George River,Chinook,11.0,11.0,Counted,Weir
