Project,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count.1, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,2018,06/01,Kuskokwim River Sonar,Chinook,0.0,0.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/02,Kuskokwim River Sonar,Chinook,227.0,227.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/03,Kuskokwim River Sonar,Chinook,585.0,585.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/04,Kuskokwim River Sonar,Chinook,204.0,204.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/05,Kuskokwim River Sonar,Chinook,410.0,410.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/06,Kuskokwim River Sonar,Chinook,605.0,605.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/07,Kuskokwim River Sonar,Chinook,502.0,502.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/08,Kuskokwim River Sonar,Chinook,564.0,564.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/09,Kuskokwim River Sonar,Chinook,779.0,779.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/10,Kuskokwim River Sonar,Chinook,963.0,963.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/11,Kuskokwim River Sonar,Chinook,1309.0,1309.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/12,Kuskokwim River Sonar,Chinook,940.0,940.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/13,Kuskokwim River Sonar,Chinook,1897.0,1897.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/14,Kuskokwim River Sonar,Chinook,2398.0,2398.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/15,Kuskokwim River Sonar,Chinook,2954.0,2954.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/16,Kuskokwim River Sonar,Chinook,3452.0,3452.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/17,Kuskokwim River Sonar,Chinook,5140.0,5140.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/18,Kuskokwim River Sonar,Chinook,3388.0,3388.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/19,Kuskokwim River Sonar,Chinook,1671.0,1671.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/20,Kuskokwim River Sonar,Chinook,2616.0,2616.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/21,Kuskokwim River Sonar,Chinook,1916.0,1916.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/22,Kuskokwim River Sonar,Chinook,5298.0,5298.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/23,Kuskokwim River Sonar,Chinook,7910.0,7910.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/24,Kuskokwim River Sonar,Chinook,9450.0,9450.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/25,Kuskokwim River Sonar,Chinook,9216.0,9216.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/26,Kuskokwim River Sonar,Chinook,4856.0,4856.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/27,Kuskokwim River Sonar,Chinook,8546.0,8546.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/28,Kuskokwim River Sonar,Chinook,7276.0,7276.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/29,Kuskokwim River Sonar,Chinook,6848.0,6848.0,Calculated,Sonar
Kuskokwim River Sonar,2018,06/30,Kuskokwim River Sonar,Chinook,5448.0,5448.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/01,Kuskokwim River Sonar,Chinook,6682.0,6682.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/02,Kuskokwim River Sonar,Chinook,3759.0,3759.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/03,Kuskokwim River Sonar,Chinook,3123.0,3123.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/04,Kuskokwim River Sonar,Chinook,3623.0,3623.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/05,Kuskokwim River Sonar,Chinook,1748.0,1748.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/06,Kuskokwim River Sonar,Chinook,2287.0,2287.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/07,Kuskokwim River Sonar,Chinook,2772.0,2772.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/08,Kuskokwim River Sonar,Chinook,1024.0,1024.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/09,Kuskokwim River Sonar,Chinook,2427.0,2427.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/10,Kuskokwim River Sonar,Chinook,420.0,420.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/11,Kuskokwim River Sonar,Chinook,0.0,0.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/12,Kuskokwim River Sonar,Chinook,1731.0,1731.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/13,Kuskokwim River Sonar,Chinook,1042.0,1042.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/14,Kuskokwim River Sonar,Chinook,470.0,470.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/15,Kuskokwim River Sonar,Chinook,1008.0,1008.0,Calculated,Sonar
Kuskokwim River Sonar,2018,07/16,Kuskokwim River Sonar,Chinook,0.0,0.0,Calculated,Sonar
